0 90 1 54296 0,
2671 7868 1 54272 0,
2671 11113 1 54273 0,
2671 14358 1 54274 0,
2671 17603 1 54275 0,
2672 1982 1 54276 0,
2672 5227 1 54277 0,
2672 8472 1 54278 0,
2672 11717 1 54279 0,
2672 16411 1 54280 0,
2672 19656 1 54281 0,
2673 2564 1 54282 0,
2673 5809 1 54283 0,
2673 9054 1 54284 0,
2673 12491 1 54285 0,
2673 15736 1 54286 0,
2673 18981 1 54287 0,
2674 1840 1 54288 0,
2674 5085 1 54289 0,
2674 8522 1 54290 0,
2674 11767 1 54291 0,
2674 15012 1 54292 0,
2674 18257 1 54293 0,
2675 1124 1 54294 0,
2675 4369 1 54295 0,
2675 7819 1 54296 0,
2676 517 1 54296 15, --set master volume
2676 5432 1 54277 88, --voice 1 attack/decay 5 attack 8 decay
2676 10388 1 54275 15, -- voice 1 pulse width
2676 15344 1 54274 15, -- voice 1 pulse width
2676 20295 1 54278 89, -- voice 1 sustain/release
2678 1960 1 54273 33, -- voice 1 frequency
2678 3839 1 54272 135, -- voice 1 frequency
2678 8688 1 54276 65, -- voice 1 control enable voice rectangle
2691 15919 1 54276 64, -- switch voice 1 off
2695 3616 1 54273 42, -- frequency
2695 5581 1 54272 62, -- frequency
2695 10622 1 54276 65,
2708 17664 1 54276 64,
2712 4859 1 54273 50,
2712 6824 1 54272 60,
2712 11673 1 54276 65,
2725 18732 1 54276 64,
2729 6713 1 54273 42,
2729 8678 1 54272 62,
2729 13527 1 54276 65,
2736 5581 1 54276 64,
2739 13124 1 54273 50,
2739 15089 1 54272 60,
2739 20130 1 54276 65,
2753 6830 1 54276 64,
2756 14880 1 54273 56,
2756 16801 1 54272 99,
2757 1297 1 54276 65,
2770 8373 1 54276 64,
2773 15942 1 54273 50,
2773 17907 1 54272 60,
2774 2624 1 54276 65,
2798 689 1 54276 64,
2801 6697 1 54273 0,
2801 8415 1 54272 0,
2801 13264 1 54276 65,
2808 5379 1 54276 64,
2811 13371 1 54273 42,
2811 15336 1 54272 62,
2812 10 1 54276 65,
2825 7076 1 54276 64,
2828 14628 1 54273 50,
2828 16593 1 54272 60,
2829 1057 1 54276 65,
2842 8077 1 54276 64,
2845 16868 1 54273 56,
2845 18789 1 54272 99,
2846 3474 1 54276 65,
2892 3505 1 54276 64,
2895 10945 1 54273 50,
2895 13102 1 54272 60,
2895 17951 1 54276 65,
2919 16051 1 54276 64
